_id	event1_id	event2_id	Precedence	Succession	Synchronous	Reason	Result	Condition	Contrast	Concession	Conjunction	Instantiation	Restatement	ChosenAlternative	Alternative	Exception	Co_Occurrence
d01c21a12d0e6c14403789abc7c3c8465b7dbcc6	cb6086b14c6f8bcdaff0c261558debcd45bf0745	be333e38affc484e4c112e1874c8d1286db970a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
ef6ec6e32ccc993bcfad53be7174e6bbfedd0e09	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	7e1b145aa8d568bf261a48b0d9c5e6fee4eef865	1.9926570653915403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
3e6b564e28f14c2399811e27cf3850ee2204e321	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	03cace465877452d919e98318192d5f7cbd2eb35	0.9999808073043824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1bab593148ae382d0ef745b62967735b7d02c009	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	c2afc80ab8c0e453646e4be37553870e6c6068a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
365477c0f361aca38b9db6143c54c38c39ca962a	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	001e0102dfe86cdc4d8a86fabe50e8535dba985d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
f142d00a5942b9b1956d3e66282b9315356b4a81	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	23acd2dbf369e8dad060fd028660e858eef3f471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
6a05b2a17aaa60e33e657d92ed2eb433b3fc80b2	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	8882f6386f27526336708f5a5063cd516431161f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
c30e7f3ce2c735d94a9f4771b533bcc89058fda4	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	02c6194854ce1b00fe1017aec95d69d2060abb57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
fc5f111603a4880fff72fae0d473b99259d45284	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	ac89fa80bf0f5ec44689fc0cf681f1829c3fffb8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
3c9e1873543cd024ffed419871f6a901088a2447	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	800ebd8a3db3cf5dd7b3ae83d5490c49fe0153dc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
9a760441895bfad963c3a1a9fab2ba3633dc8e71	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	d27e024a3eb8bbbfd6929311f7673327e5ae067a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
a64ab078b9033223230824458ba00e863e664af3	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	dba6d8b400873678cf75dd19694a8417ed2a43d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
99cbacc7f7d566754285127bb74b985a2cec6125	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	61d49ebdfbff09dcfd7b407cfd22f65f5da03624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
e562ea8172c34058370ebf7b081e33753755664f	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	b9645cdad3b20b03616ddb706f3d396c6f685a8c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
4749796bccee87af3b7ded1223d2d5b3d8fc10c5	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	40d7f2003d498fd0d9703fea3c962179733b1049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1e32f6cf580dde1da1558d3f056ddcf6eedff88c	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	474ea8c8c81600c1d62d080881190fab1594d80d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
7299d80895a9333c27aff90af3108a89a09aafdd	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	13e9922a1d2247e6c6f22d78b6044d51ac1f8878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
4ba7801c5e1f2a08c53a04e45b2087aa0c17146e	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
406fe43891f149dd85d6e256ded95f6afc07a716	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	2beb36534a5b07e80bf4f35df44ea0022c82e8cf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
e96e953e637cf43d141b7420c223cefb93de680b	0ff207f2aaacbf1a90029b0a1c80bfe50cba73e4	70f3ad0ec5720773f41480cc5e2ecbae71181a9e	0.0	0.0	0.0	0.0	0.0	0.0	0.999980330467224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
